,real,preds
347,i went here in ohio like pizza?,how was your summer?? i went to mississippi?<|endoftext|>
348,yes i do i usually order it every friday i am a real estate agent, 35 i just sold houses since i was done with them a few years ago<|endoftext|>
349,what is your favorite holiday?,berkeley right? what do you do?<|endoftext|>
350,earth day since that what i do environmentalist, christmas is a great time of year.<|endoftext|>
351,my fav is christmas i love that day,<|endoftext|>
352,for the presents? or family, its a great time of year for me<|endoftext|>
353,"both i just love it, need your hair done?", for the kiddos<|endoftext|>
354,i need a trim is that what you do?,Yes soon it will be back to straight<|endoftext|>
355,yes i can do all that when you need me?,Yeah just shave every week<|endoftext|>
356,"hello, how are you doing today?", animals.<|endoftext|>
357,"i am doing pretty good, how are you?",i am fine thank you. and yourself?<|endoftext|>
358,"great, what is your favorite color?",same here. what do you do for a living?<|endoftext|>
359,green. what do you do for fun?,"blue, what is yours?<|endoftext|>"
360,green is my favorite too! i collect teddy bears. you?,"my favorite color is blue, the color of the rainbow.<|endoftext|>"
361,kool! i like to play fantasy video games.,green is my favorite color too! i like to work with my hands.<|endoftext|>
362,like stuff where you are a medieval hero or something?,"how fun! i'm more of a animal person, myself. but i do love watching the rainbow.<|endoftext|>"
363,"just like that, i also build model spaceships in my free time.","Yeah, sort of. i love rpgs.<|endoftext|>"
364,that is cool. do you have any zoos where you live?,"oh, ok. i really like animals.<|endoftext|>"
365,"yes, we do. do you like animals?"," yeah, lots of them. i live in california.<|endoftext|>"
366,"yes, i really love bears. you?","i love animals, i love all animals, especially dogs.<|endoftext|>"
367,"not really, i am pretty shy. i like cats.",i like bears. i also like to work with my hands.<|endoftext|>
368,i like cats too. but i have a dog named banjo.,i've a degree in medical.<|endoftext|>
369,"kool, what kind of dog is he?", banjo! ahahah.<|endoftext|>
370,"hello, how are you? did you eat your bacon this morning?", protein is a good protein to get you going.<|endoftext|>
371,no! i am a jew! i assume you like bacon?,i am not good. i ate some cookies and cake but it isn't the same.<|endoftext|>
372,i like meat. steaks are cool too. you can have one of those,"nope, i like protein too much.<|endoftext|>"
373,"yeah, that is fine. i prefer savoury foods to sweet anyway. do you like music?",oh my. i did not know pork was a vegetarian.<|endoftext|>
374,i do. i have a killer stereo in my raptor. do you like to hike and camp?,i like listening to music while i ride my bike. it is huge.<|endoftext|>
375,"i would, but i live in new york so do not drive, which is difficult",hiking is great. i love the subway. it is the best place to go.<|endoftext|>
376,that would be difficult. what about central park?,it is not so bad if you have a car.<|endoftext|>
377,"could hike there, but camping might be tricky? do you watch much tv",Claustrophobic. i hate all sugar. i've to take an an allergy medication every day.<|endoftext|>
378,"no, i do not. mom is a nurse and sleeps during the day.",my system is huge. it is awesome. i love tv.<|endoftext|>
379,tricky what about in the evening? the office is my fave at the moment,i only watch subway. i prefer to listen to music.<|endoftext|>
380,"i work in the evenings, i do not get home until after midnight.", office. tough call getting up early.<|endoftext|>
381,"gosh, i thought all the children would need to be asleep by then", eleven o clock is my favorite.<|endoftext|>
382,"i am not a child, lol. i built mom a new home last fall.","nah, they are too busy running around.<|endoftext|>"
383,impressive you are obviously a hard worker,"oh, that's really cool!<|endoftext|>"
384,i really need to make this chat quick because i need to go to bed, by landmass and ocean.<|endoftext|>
385,ok lets do it. movies?,"hey, how are you doing tonight?<|endoftext|>"
386,i get up early and brightly but no cats,"nope, i prefer to be alone. i don't like crowded cities.<|endoftext|>"
387,i was born in south carolina you? i am a singer,russian nesting dolls are the best. i sing heavy metal while i work.<|endoftext|>
388,no i m allergic to the fair of cats traps are usually do it,i am an artist and i enjoy taking photos of nature.<|endoftext|>
389,my name is joanna and i like horror films,ok lets do it. i sing heavy metal music.<|endoftext|>
390,i do crafts for ordering the pham,<|endoftext|>
391,"interesting, what do you do for work?",i work in a shop that sells gummy bears and candy<|endoftext|>
392,in a very small town that s where i need, i m a nurse and i m also an artist<|endoftext|>
393,i can understand that.,mostly i am trying to work but it is hard<|endoftext|>
394,i mean that s where i live how about you,i live in a rural area of georgia<|endoftext|>
395,big city now. helps with my career in singing,<|endoftext|>
396,so what do you see any music you sing,<|endoftext|>
397,mostly country. like the way it makes me feel and relates to life,mostly country music. some love songs from the 70s<|endoftext|>
398,you re awesome i hope i can do that,<|endoftext|>
399,took a very long time for me to land a deal.,good luck to you.<|endoftext|>
400,hi how are you today,<|endoftext|>
401,hey there! i am wonderful how are you doing today?,"good, hanging with my siblings and listening to rock music.<|endoftext|>"
402,pretty good do you work?,good. just listening to some music. i enjoy art.<|endoftext|>
403,"i am a singer actually which can be work but i love it, how about you?","nope, i just play rock music.<|endoftext|>"
404,i enjoy music too what kind,how tall are you?<|endoftext|>
405,"folk music, its kind of like storytelling. people dig it, you listen to music?","mostly rock, but i also play piano and guitar. what other things do you enjoy?<|endoftext|>"
406,i do how tall are you?,i love to listen to gospel music<|endoftext|>
407,"i am average height, i am the shortest of my 3 sisters. you?","5 foot 9, what is your favorite band?<|endoftext|>"
408,i am only 5 ft tall,i am 6 feet tall exactly<|endoftext|>
409,do you have any siblings?, that is cool. are you married?<|endoftext|>
410,i do we have 4 people in our family, 2 older brothers and a younger sister.<|endoftext|>
411,do you work? or your parents work?,whats your favorite band?<|endoftext|>
412,i am currently in school,They are both retired<|endoftext|>
413,college? studying anything in particular?,<|endoftext|>
414,general studies now. and you?,biology maybe i might go for masters<|endoftext|>
415,"just music right now, its pretty great. dad drove a semi, mom stayed home", criminal justice<|endoftext|>
416,hi. how are you? sittin on the beach myself.,<|endoftext|>
417,"hello, i am ok just hanging out here. do you have pets?","sittin on the porch with beer and coke, waiting to play texas hold em. my favorite game.<|endoftext|>"
418,"no, no pets. but i loves horses, they are my favorite.","yes, i have a dog and a cat. what about you?<|endoftext|>"
419,"i work as a carpenter, stay at home mostly. kinda a loner", i have a few dogs. what are your hobbies?<|endoftext|>
420,i like to build things. my pops sell cars but that is not for me., hobbies? i'm really into equestrian sports.<|endoftext|>
421,i can not see my self as a salesman not good at socializing,what kind of cars do you sell?<|endoftext|>
422,i feel ya on that. i have social anxiety. hate going out.,"i relax by doing a lot of things, especially when i am out in the sand.<|endoftext|>"
423,i use to drink a lot and since i quit so did my friends,"i just want to drink some more, but no more.<|endoftext|>"
424,that is a good thing to quit. that is a biased opinion though.,i relax by doing a lot of tanning. helps with stress.<|endoftext|>
425,i would agree that is it good. my friends were not true friends,how is social anxiety treating you?<|endoftext|>
426,nope. not if they bailed like that. that is garbage.,how many horses do you have?<|endoftext|>
427,well that is human nature min. you are no fun people run.,how do you feel about texas hold em?<|endoftext|>
428,i do not drink and we have a blast. we smoke though. a lot.,what i do love is equestrian sports. and tanning<|endoftext|>
429,lol that can be just has fun or bad just depends if you are responsible,<|endoftext|>
430,we are all responsible. but we still smoke a lot. makes the days easier.,True and true.<|endoftext|>
431,"i can see that, i did some back in my younger days",True. very true<|endoftext|>
432,"hello, how are you today?",<|endoftext|>
433,hello i am doing well. hanging out with my dog pedro,"hi i'm great thanks, and yourself?<|endoftext|>"
434,what kind of dog is he?,"oh, i love dogs. what kind of dog do you have?<|endoftext|>"
435,he is a yorkie. perfect size for me since i am only five feet tall.,blue heelers. i got him about a week ago.<|endoftext|>
436,how old is your dog?,wow! that's cool. what do you do for a living?<|endoftext|>
437,he is five. he likes to eat muffins like me., he's about seven years old. he's a big brute.<|endoftext|>
438,do you take him to the dog park?,what do you do for a living?<|endoftext|>
439,"yes, there is one at my job at the healthcare industry.","Yep, he loves to go with me to get breakfast buns.<|endoftext|>"
